pair,aspect,in_window_bars,rate_in,lift,binomial_p,random_p,holdout_in_bars,holdout_lift,bh_significant
mercury-jupiter,180.0,50,0.68,1.0751718625099922,0.29433926153479595,0.263681592039801,4,1.6105919003115265,False
mercury-saturn,45.0,31,0.6774193548387096,1.0710915138856656,0.37556054119568294,0.3681592039800995,6,0.5368639667705088,False
mercury-neptune,30.0,34,0.6764705882352942,1.0695913857149575,0.3670748327910779,0.3283582089552239,7,1.6105919003115265,False
moon-neptune,60.0,34,0.6764705882352942,1.0695913857149575,0.3670748327910779,0.3781094527363184,9,1.0737279335410177,False
moon-jupiter,150.0,34,0.6764705882352942,1.0695913857149575,0.3670748327910779,0.31840796019900497,7,1.1504227859368048,False
mars-neptune,120.0,68,0.6764705882352942,1.0695913857149575,0.26772373446768294,0.26865671641791045,31,1.246909858305698,False
jupiter-saturn,60.0,122,0.6721311475409836,1.0627301437538494,0.20838379132314502,0.24378109452736318,0,,False
jupiter-saturn,90.0,94,0.6702127659574468,1.059696923312414,0.2589923761551399,0.2885572139303483,43,1.011301890893284,False
moon-uranus,120.0,33,0.6666666666666666,1.0540900612843058,0.41640849469648034,0.48258706467661694,8,1.006619937694704,False
moon-jupiter,120.0,39,0.6666666666666666,1.0540900612843058,0.3963914601076315,0.43283582089552236,11,1.0249221183800623,False
moon-uranus,60.0,35,0.6571428571428571,1.0390316318373873,0.45547885939557686,0.417910447761194,9,0.7158186223606784,False
moon-uranus,45.0,35,0.6571428571428571,1.0390316318373873,0.45547885939557686,0.5124378109452736,10,0.8052959501557633,False
moon-neptune,45.0,35,0.6571428571428571,1.0390316318373873,0.45547885939557686,0.43781094527363185,9,1.0737279335410177,False
sun-moon,135.0,32,0.65625,1.0376199040767387,0.46841061739772516,0.42786069651741293,9,0.8947732779508482,False
sun-moon,45.0,32,0.65625,1.0376199040767387,0.46841061739772516,0.527363184079602,9,1.2526825891311872,False
moon-mercury,120.0,37,0.6486486486486487,1.0256011407090546,0.4926326232754512,0.48756218905472637,15,1.1811007268951195,False
